Alpenglow LLM — 16-hop structural transitive reasoning training run
────────────────────────────────────────────────────────────────────
Date: 2026-04-09
Hardware: Apple M4 Mac mini, 16 GB unified memory
Model: 99,844 trainable parameters
Training set: 4,000 samples
Test set: 1,000 samples
Task: 16-hop structural transitive reasoning, binary classification
Chain length: 17 items per chain / 16 transitive edges
Vocabulary: 60 items
Inference mode (at test time): single forward pass, no chain-of-thought
Training schedule: cosine-annealed learning rate, 1000 epochs

Columns: epoch / train-loss / train-accuracy / test-accuracy / confusion-matrix / learning-rate / epoch-time / ETA-to-end

────────────────────────────────────────────────────────────────────

  epoch    1/1000 | trL=0.693 trA= 50.0% | teA= 46.8% | [TN=440 FN=505 FP= 27 TP= 28] | lr=1.00e-5 | ep=7.99s | eta=133.1m  ★ new best
  epoch    2/1000 | trL=0.694 trA= 50.5% | teA= 53.3% | [TN=  0 FN=  0 FP=467 TP=533] | lr=2.10e-4 | ep=7.96s | eta=132.7m  ★ new best
  epoch    3/1000 | trL=0.693 trA= 52.5% | teA= 46.7% | [TN=467 FN=533 FP=  0 TP=  0] | lr=4.10e-4 | ep=8.00s | eta=132.7m
  epoch    4/1000 | trL=0.694 trA= 50.2% | teA= 46.7% | [TN=467 FN=533 FP=  0 TP=  0] | lr=6.09e-4 | ep=8.01s | eta=132.6m
  epoch    5/1000 | trL=0.695 trA= 50.2% | teA= 53.3% | [TN=  0 FN=  0 FP=467 TP=533] | lr=8.09e-4 | ep=8.02s | eta=132.6m
  epoch    6/1000 | trL=0.695 trA= 49.7% | teA= 46.7% | [TN=467 FN=533 FP=  0 TP=  0] | lr=1.01e-3 | ep=7.98s | eta=132.4m
  epoch    7/1000 | trL=0.694 trA= 50.8% | teA= 46.7% | [TN=467 FN=533 FP=  0 TP=  0] | lr=1.21e-3 | ep=8.37s | eta=133.2m
  epoch    8/1000 | trL=0.695 trA= 50.6% | teA= 56.6% | [TN= 35 FN=  2 FP=432 TP=531] | lr=1.41e-3 | ep=8.37s | eta=133.7m  ★ new best
  epoch    9/1000 | trL=0.694 trA= 51.2% | teA= 46.7% | [TN=467 FN=533 FP=  0 TP=  0] | lr=1.61e-3 | ep=8.09s | eta=133.6m
  epoch   10/1000 | trL=0.692 trA= 53.2% | teA= 46.7% | [TN=467 FN=533 FP=  0 TP=  0] | lr=1.81e-3 | ep=8.02s | eta=133.3m
  epoch   11/1000 | trL=0.692 trA= 52.4% | teA= 46.7% | [TN=467 FN=533 FP=  0 TP=  0] | lr=2.01e-3 | ep=8.11s | eta=133.2m
  epoch   12/1000 | trL=0.692 trA= 52.1% | teA= 53.3% | [TN=  0 FN=  0 FP=467 TP=533] | lr=2.21e-3 | ep=8.11s | eta=133.1m
  epoch   13/1000 | trL=0.689 trA= 53.8% | teA= 46.7% | [TN=467 FN=533 FP=  0 TP=  0] | lr=2.41e-3 | ep=8.24s | eta=133.2m
  epoch   14/1000 | trL=0.691 trA= 52.6% | teA= 53.3% | [TN=  0 FN=  0 FP=467 TP=533] | lr=2.61e-3 | ep=8.40s | eta=133.4m
  epoch   15/1000 | trL=0.689 trA= 52.9% | teA= 46.7% | [TN=467 FN=533 FP=  0 TP=  0] | lr=2.81e-3 | ep=8.51s | eta=133.7m
  epoch   16/1000 | trL=0.684 trA= 55.5% | teA= 46.7% | [TN=467 FN=533 FP=  0 TP=  0] | lr=3.01e-3 | ep=8.68s | eta=134.1m
  epoch   17/1000 | trL=0.687 trA= 54.3% | teA= 55.1% | [TN= 18 FN=  0 FP=449 TP=533] | lr=3.21e-3 | ep=8.15s | eta=133.9m
  epoch   18/1000 | trL=0.685 trA= 55.5% | teA= 46.7% | [TN=467 FN=533 FP=  0 TP=  0] | lr=3.41e-3 | ep=8.13s | eta=133.8m
  epoch   19/1000 | trL=0.682 trA= 55.5% | teA= 53.3% | [TN=  0 FN=  0 FP=467 TP=533] | lr=3.61e-3 | ep=8.21s | eta=133.7m
  epoch   20/1000 | trL=0.683 trA= 55.2% | teA= 70.8% | [TN=230 FN= 55 FP=237 TP=478] | lr=3.81e-3 | ep=8.41s | eta=133.7m  ★ new best
  epoch   21/1000 | trL=0.677 trA= 56.9% | teA= 51.3% | [TN=466 FN=486 FP=  1 TP= 47] | lr=4.01e-3 | ep=8.22s | eta=133.6m
  epoch   22/1000 | trL=0.679 trA= 56.1% | teA= 46.8% | [TN=467 FN=532 FP=  0 TP=  1] | lr=4.21e-3 | ep=8.56s | eta=133.7m
  epoch   23/1000 | trL=0.674 trA= 58.4% | teA= 65.7% | [TN=428 FN=304 FP= 39 TP=229] | lr=4.41e-3 | ep=8.31s | eta=133.7m
  epoch   24/1000 | trL=0.670 trA= 58.7% | teA= 61.7% | [TN= 91 FN=  7 FP=376 TP=526] | lr=4.61e-3 | ep=8.10s | eta=133.5m
